Test_ID,Passage,Question,Options,Answer,Explanation
1,"<span id=""maintitle"">The Creators of Grammar</span> <p>No student of a foreign language needs to be told that grammar is complex.&nbsp; By changing word sequences and by adding a range of auxiliary ve...","In paragraph 1, why does the writer include information about the Cherokee language?","A  To show how simple, traditional cultures can have complicated grammar structures | B  To show how English grammar differs from Cherokee grammar | C  To prove that complex grammar structures were invented by the Cherokees. | D  To demonstrate how difficult it is to learn the Cherokee language",A,See choice feedback
1,"<span id=""maintitle"">The Creators of Grammar</span> <p>No student of a foreign language needs to be told that grammar is complex.&nbsp; By changing word sequences and by adding a range of auxiliary ve...",What can be inferred about the slaves' pidgin language?,"A  It contained complex grammar. | B  It was based on many different languages. | C  It was difficult to understand, even among slaves. | D  It was created by the land-owners.",C,See choice feedback
1,"<span id=""maintitle"">The Creators of Grammar</span> <p>No student of a foreign language needs to be told that grammar is complex.&nbsp; By changing word sequences and by adding a range of auxiliary ve...",All the following sentences about Nicaraguan sign language are true EXCEPT:,A  The language has been created since 1979. | B  The language is based on speech and lip reading. | C  The language incorporates signs which children used at home. | D  The language was perfected by younger children.,B,See choice feedback
1,"<span id=""maintitle"">The Creators of Grammar</span> <p>No student of a foreign language needs to be told that grammar is complex.&nbsp; By changing word sequences and by adding a range of auxiliary ve...","In paragraph 3, where can the following sentence be placed?   It included standardised word orders and grammatical markers that existed in neither the pidgin language, nor the language of the colonizers.",A | B | C | D,D,See choice feedback
1,"<span id=""maintitle"">The Creators of Grammar</span> <p>No student of a foreign language needs to be told that grammar is complex.&nbsp; By changing word sequences and by adding a range of auxiliary ve...",' From scratch ' in paragraph 2 is closest in meaning to:,A  from the very beginning | B   in simple cultures | C   by copying something else | D   by using written information,A,See choice feedback
1,"<span id=""maintitle"">The Creators of Grammar</span> <p>No student of a foreign language needs to be told that grammar is complex.&nbsp; By changing word sequences and by adding a range of auxiliary ve...",' Make-shift ' in paragraph 3 is closest in meaning to:,A  complicated and expressive | B  simple and temporary | C  extensive and diverse | D  private and personal,B,See choice feedback
1,"<span id=""maintitle"">The Creators of Grammar</span> <p>No student of a foreign language needs to be told that grammar is complex.&nbsp; By changing word sequences and by adding a range of auxiliary ve...","Which sentence is closest in meaning to the highlighted sentence?   Grammar is universal and plays a part in every language, no matter how widespread it is.","A  All languages, whether they are spoken by a few people or a lot of people, contain grammar. | B  Some languages include a lot of grammar, whereas other languages contain a little. | C  Languages which contain a lot of grammar are more common that languages that contain a little. | D  The grammar of all languages is the same, no matter where the languages evolved.",A,See choice feedback
1,"<span id=""maintitle"">The Creators of Grammar</span> <p>No student of a foreign language needs to be told that grammar is complex.&nbsp; By changing word sequences and by adding a range of auxiliary ve...",All of the following are features of the new Nicaraguan sign language EXCEPT:,A  All children used the same gestures to show meaning. | B  The meaning was clearer than the previous sign language. | C  The hand movements were smoother and smaller. | D  New gestures were created for everyday objects and activities.,D,See choice feedback
1,"<span id=""maintitle"">The Creators of Grammar</span> <p>No student of a foreign language needs to be told that grammar is complex.&nbsp; By changing word sequences and by adding a range of auxiliary ve...",Which idea is presented in the final paragraph?,A  English was probably once a creole. | B  The English past tense system is inaccurate. | C  Linguists have proven that English was created by children. | D  Children say English past tenses differently from adults.,A,See choice feedback
1,"<span id=""maintitle"">The Creators of Grammar</span> <p>No student of a foreign language needs to be told that grammar is complex.&nbsp; By changing word sequences and by adding a range of auxiliary ve...",Look at the word ' consistent ' in paragraph 4.  This word could best be replaced by which of the following?,A  natural | B  predictable | C  imaginable | D  uniform,D,See choice feedback
1,"<span id=""maintitle"">The Creators of Grammar</span> <p>No student of a foreign language needs to be told that grammar is complex.&nbsp; By changing word sequences and by adding a range of auxiliary ve...",Which  THREE  ideas best sum up the main ideas of the passage?,A  Some children are better at grammar than others. | B  Children have the mental capacity to create complex languages. | C  Children are better at learning grammar than adults. | D  Children prefer to invent their own grammar rules than to copy existing rules. | E   Children do not only learn grammar by copying other people. | F   All creole languages were perfected by children.,"B, E, F",Multiple selection question
2,"<span id=""maintitle"">Smart Energy</span><br /> <p>The next few decades will see great changes in the way energy is supplied and used.&nbsp; In some major oil producing nations, 'peak oil' has already ...","According to paragraph 1, what has happened in some oil producing countries?",A  They are unwilling to sell their oil any more. | B  They are not producing as much oil as they used to. | C  The supply of oil is unpredictable. | D  Global warming is more sever here than in other countries.,B,See choice feedback
2,"<span id=""maintitle"">Smart Energy</span><br /> <p>The next few decades will see great changes in the way energy is supplied and used.&nbsp; In some major oil producing nations, 'peak oil' has already ...","Where in  paragraph 1  can the following sentence be placed?   There is also likely more electricity generation centres, as households and communities take up the opportunity to install photovoltaic cells and small scale wind turbines.",A | B | C | D,C,See choice feedback
2,"<span id=""maintitle"">Smart Energy</span><br /> <p>The next few decades will see great changes in the way energy is supplied and used.&nbsp; In some major oil producing nations, 'peak oil' has already ...",Which of the following is NOT a benefit of Smart Grid technology to consumers?,A  It can reduce their electricity bills. | B  It can tell them how much energy each appliance is using. | C  It can allow them to turn appliances on and off when they are not at home. | D  It can reduce the amount of energy needed to power appliances.,D,See choice feedback
2,"<span id=""maintitle"">Smart Energy</span><br /> <p>The next few decades will see great changes in the way energy is supplied and used.&nbsp; In some major oil producing nations, 'peak oil' has already ...","According to  paragraph 4 , what is the problem with using renewable sources of power?",A  They do not provide much energy. | B  They often cause system failure and blackouts. | C  They do not supply a continuous flow of energy. | D  They can't be used at off-peak times.,C,See choice feedback
